Date1,L_ETR,L_ETR/L_ETL,L_ETR_Z,L_ETL_Z,L_ETR - min,L_ETR - SMA,Date2,L_momentum_signal,LS_momentum_signal,LS_momentum_Z_signal
1/10/2008 0:00,1.11339462,10.62526997,1.250944703,0.421130569,,,1/18/2008,,,
1/11/2008 0:00,1.116663344,10.7481158,1.279921574,0.322962231,,,1/22/2008,,,
1/14/2008 0:00,1.118491865,10.84419553,1.2916131,0.240282063,,,1/23/2008,,,
1/15/2008 0:00,1.118586024,10.92892003,1.282958562,0.153386866,,,1/24/2008,,,
1/16/2008 0:00,1.121368304,11.00105105,1.305692834,0.107247878,,,1/25/2008,,,
1/17/2008 0:00,1.126997444,11.1294365,1.360947727,0.033505579,,,1/28/2008,,,
1/18/2008 0:00,1.121962701,11.01380735,1.292027942,0.100016419,,,1/29/2008,,,
1/21/2008 0:00,1.121962701,11.01380735,1.2824876,0.099736978,,,1/30/2008,,,
1/22/2008 0:00,1.108449735,10.75333709,1.117284738,0.233265932,,,1/31/2008,,,
1/23/2008 0:00,1.089798332,10.41688187,0.894636585,0.402991436,,,2/1/2008,,,
1/24/2008 0:00,1.083553068,10.3721849,0.817786663,0.384932171,,,2/4/2008,,,
1/25/2008 0:00,1.076972831,10.25676185,0.737587282,0.443116442,,,2/5/2008,,,
1/28/2008 0:00,1.068576001,10.20022227,0.636666303,0.414814377,,,2/6/2008,,,
1/29/2008 0:00,1.06975307,10.30386907,0.648013404,0.308538684,,,2/7/2008,,,
1/30/2008 0:00,1.081101586,10.66382161,0.77819752,0.034113985,,,2/8/2008,,,
1/31/2008 0:00,1.07154754,10.64261908,0.663104356,-0.044196197,,,2/11/2008,,,
2/1/2008 0:00,1.065326963,10.72430242,0.58762026,-0.195897737,,,2/12/2008,,,
2/4/2008 0:00,1.065968064,10.85942341,0.593081155,-0.328314752,,,2/13/2008,,,
2/5/2008 0:00,1.062529425,10.86774743,0.55049129,-0.371686194,,,2/14/2008,,,
2/6/2008 0:00,1.059044643,10.84256907,0.507496443,-0.381290736,,,2/15/2008,,,
2/7/2008 0:00,1.05075295,10.72562801,0.407731726,-0.346981013,,,2/19/2008,,,
2/8/2008 0:00,1.038422534,10.50356722,0.260172192,-0.243706831,,,2/20/2008,,,
2/11/2008 0:00,1.032726169,10.29945287,0.191660218,-0.082284701,,,2/21/2008,,,
2/12/2008 0:00,1.038770772,10.31589314,0.263282268,-0.03321963,,,2/22/2008,,,
2/13/2008 0:00,1.030372114,10.10407933,0.162107122,0.113949862,,,2/25/2008,,,
2/14/2008 0:00,1.032438195,10.06564418,0.18646752,0.182170841,,,2/26/2008,,,
2/15/2008 0:00,1.04116813,10.12714399,0.290921523,0.209317235,,,2/27/2008,,,
2/18/2008 0:00,1.04116813,10.12714399,0.290135279,0.20877294,,,2/28/2008,,,
2/19/2008 0:00,1.036659972,9.909094463,0.234917542,0.417871871,,,2/29/2008,,,
2/20/2008 0:00,1.031723376,9.634672679,0.174540428,0.702983126,,,3/3/2008,,,
2/21/2008 0:00,1.028669393,9.382489554,0.137030572,0.996104195,,,3/4/2008,,,
2/22/2008 0:00,1.020772263,9.067758407,0.040590304,1.32959786,,,3/5/2008,,,
2/25/2008 0:00,1.01559156,8.830986649,-0.022712125,1.598869669,,,3/6/2008,,,
2/26/2008 0:00,1.020316354,8.921444458,0.035126891,1.512744524,,,3/7/2008,,,
2/27/2008 0:00,1.021665146,8.987070431,0.051578268,1.422947183,,,3/10/2008,,,
2/28/2008 0:00,1.03381717,9.14215006,0.200783073,1.344610331,,,3/11/2008,,,
2/29/2008 0:00,1.048617301,9.332869771,0.382487589,1.253302528,,,3/12/2008,,,
3/3/2008 0:00,1.054975544,9.342713757,0.459833655,1.309410919,,,3/13/2008,,,
3/4/2008 0:00,1.065120532,9.460631905,0.583741424,1.263082403,,,3/14/2008,,,
3/5/2008 0:00,1.067352819,9.396020318,0.609481749,1.369693183,,,3/17/2008,,,
3/6/2008 0:00,1.071639641,9.392156152,0.660553839,1.417134278,,,3/18/2008,,,
3/7/2008 0:00,1.073200128,9.360856741,0.677665942,1.468734557,,,3/19/2008,,,
3/10/2008 0:00,1.080758699,9.409485164,0.769042217,1.481576029,,,3/20/2008,,,
3/11/2008 0:00,1.075356775,9.080469744,0.699212187,1.866696135,,,3/24/2008,,,
3/12/2008 0:00,1.068110173,8.826464011,0.60675543,2.130800515,,,3/25/2008,,,
3/13/2008 0:00,1.046628502,8.398829933,0.337109296,2.491680794,,,3/26/2008,,,
3/14/2008 0:00,1.031427632,8.069305749,0.14618138,2.788170153,,,3/27/2008,,,
3/17/2008 0:00,1.001543294,7.488944002,-0.228803088,3.335400704,,,3/28/2008,,,
3/18/2008 0:00,0.982303742,7.298586519,-0.469796089,3.330486274,,,3/31/2008,,,
3/19/2008 0:00,0.978750333,7.221619281,-0.513162656,3.333065286,,,4/1/2008,,,
3/20/2008 0:00,0.972339207,7.203090602,-0.592380604,3.194481347,,,4/2/2008,,,
3/21/2008 0:00,0.972339207,7.203090602,-0.590598278,3.116855914,,,4/3/2008,,,
3/24/2008 0:00,0.981368388,7.449695935,-0.474868783,2.746493245,,,4/4/2008,,,
3/25/2008 0:00,0.982978408,7.749870452,-0.453218303,2.247068268,,,4/7/2008,,,
3/26/2008 0:00,0.983804825,7.856212826,-0.441544386,2.069582683,,,4/8/2008,,,
3/27/2008 0:00,0.973757336,7.85417866,-0.567908974,1.931750909,,,4/9/2008,,,
3/28/2008 0:00,0.982386407,8.049187455,-0.456595515,1.735513467,,,4/10/2008,,,
3/31/2008 0:00,0.982011772,8.022884076,-0.46017064,1.752687846,,,4/11/2008,,,
4/1/2008 0:00,1.002070668,8.280071252,-0.20287358,1.612018669,,,4/14/2008,,,
4/2/2008 0:00,1.009679344,8.355921795,-0.105017482,1.582530363,,,4/15/2008,,,
4/3/2008 0:00,1.015024417,8.444917422,-0.036209441,1.51272299,,,4/16/2008,,,
4/4/2008 0:00,1.012899502,8.405561687,-0.063455948,1.530134338,,,4/17/2008,,,
4/7/2008 0:00,1.001177976,8.143681011,-0.214351306,1.738137953,,,4/18/2008,,,
4/8/2008 0:00,0.989097045,7.881635833,-0.369792864,1.95088034,,,4/21/2008,,,
4/9/2008 0:00,0.987686596,7.771496044,-0.387138673,2.072041713,,,4/22/2008,,,
4/10/2008 0:00,0.989798271,7.782783393,-0.358861669,2.056830106,,,4/23/2008,,,
4/11/2008 0:00,0.993795876,7.810898078,-0.306145917,2.039230962,,,4/24/2008,,,
4/14/2008 0:00,1.000700301,7.985326921,-0.215666759,1.85188756,,,4/25/2008,,,
4/15/2008 0:00,1.004952601,8.111104293,-0.159781238,1.712384897,,,4/28/2008,,,
4/16/2008 0:00,1.008916197,8.248349041,-0.107676345,1.562073653,,,4/29/2008,,,
4/17/2008 0:00,1.010886685,8.286269693,-0.081662319,1.523305994,,,4/30/2008,,,
4/18/2008 0:00,1.006560936,8.276197322,-0.138227491,1.480781535,,,5/1/2008,,,
4/21/2008 0:00,0.99566009,8.154227864,-0.281168979,1.512590385,,,5/2/2008,,,
4/22/2008 0:00,0.987273081,8.068500578,-0.390915723,1.524600981,,,5/5/2008,,,
4/23/2008 0:00,0.98020114,8.024988187,-0.483180918,1.495789596,,,5/6/2008,,,
4/24/2008 0:00,0.975528935,8.013915613,-0.543609709,1.45075846,,,5/7/2008,,,
4/25/2008 0:00,0.973710705,7.973301306,-0.566209668,1.475096124,,,5/8/2008,,,
4/28/2008 0:00,0.977946001,7.999143176,-0.508702801,1.477213776,,,5/9/2008,,,
4/29/2008 0:00,0.986406032,8.094375756,-0.395315749,1.434592183,,,5/12/2008,,,
4/30/2008 0:00,0.987740537,8.052027286,-0.376689716,1.494072108,,,5/13/2008,,,
5/1/2008 0:00,0.990836094,8.058580562,-0.33465852,1.508519522,,,5/14/2008,,,
5/2/2008 0:00,0.991619864,8.049947762,-0.323480886,1.518087213,,,5/15/2008,,,
5/5/2008 0:00,0.990290658,7.998836774,-0.340530472,1.560292941,,,5/16/2008,,,
5/6/2008 0:00,0.985919508,7.895292504,-0.398249982,1.639130655,,,5/19/2008,,,
5/7/2008 0:00,0.984517874,7.849867763,-0.416127871,1.672619242,,,5/20/2008,,,
5/8/2008 0:00,0.979081048,7.738417711,-0.488106825,1.751622154,,,5/21/2008,,,
